Date,META,AAPL,AMZN,NFLX,GOOGL
2015-01-02,78.45,24.2374,15.426,4.9849,26.3819
2015-01-05,77.19,23.5555,15.1095,4.7311,25.8791
2015-01-06,76.15,23.5575,14.7645,4.6501,25.2406
2015-01-07,76.15,23.8917,14.921,4.6743,25.1663
2015-01-08,78.18,24.8079,15.023,4.7779,25.254
2015-01-09,77.74,24.8346,14.8465,4.7041,24.9456
2015-01-12,76.72,24.2175,14.5705,4.5547,24.7632
2015-01-13,76.45,24.4406,14.737,4.6256,24.9993
2015-01-14,76.28,24.3463,14.6635,4.632,25.2051
2015-01-15,74.05,23.6814,14.3475,4.6251,25.1094
2015-01-16,75.18,23.4937,14.537,4.8191,25.4303
2015-01-20,76.24,24.0979,14.472,4.9829,25.4049
2015-01-21,76.74,24.2904,14.8625,5.8469,25.9256
2015-01-22,77.65,24.9179,15.516,6.1206,26.7679
2015-01-23,77.83,25.0484,15.6195,6.2493,26.9996
2015-01-26,77.5,25.0722,15.483,6.3794,26.7391
2015-01-27,75.78,24.1931,15.3375,6.4881,25.9653
2015-01-28,76.24,25.5641,15.1955,6.3214,25.5289
2015-01-29,78.0,26.3637,15.589,6.34,25.5688
2015-01-30,75.91,25.9767,17.7265,6.3114,26.7804
2015-02-02,74.99,26.2968,18.2235,6.301,26.5139
2015-02-03,75.4,26.3018,18.1775,6.5274,26.5687
2015-02-04,75.63,26.5003,18.2375,6.4101,26.21
2015-02-05,75.61,26.6945,18.6945,6.413,26.3957
2015-02-06,74.47,26.4628,18.714,6.348,26.5976
2015-02-09,74.44,26.6436,18.528,6.3296,26.3685
2015-02-10,75.19,27.1562,18.6495,6.485,26.9104
2015-02-11,76.51,27.7907,18.757,6.4984,26.8029
2015-02-12,76.23,28.1471,18.8585,6.5247,27.2019
2015-02-13,75.74,28.2818,19.0915,6.6586,27.4584
2015-02-17,75.6,28.4538,18.7715,6.7137,27.1521
2015-02-18,76.71,28.6452,18.6685,6.7866,27.0345
2015-02-19,79.42,28.5863,18.9495,6.78,27.2238
2015-02-20,79.89,28.8239,19.183,6.8314,26.9921
2015-02-23,78.84,29.6047,19.007,6.7406,26.6534
2015-02-24,78.45,29.4162,18.9295,6.784,26.8351
2015-02-25,79.56,28.6617,19.2685,6.8333,27.2676
2015-02-26,80.41,29.0274,19.24,6.9004,27.8635
2015-02-27,78.97,28.5883,19.008,6.7844,28.03
2015-03-02,79.75,28.7277,19.2825,6.8607,28.6471
2015-03-03,79.6,28.7945,19.2305,6.7816,28.835
2015-03-04,80.89,28.6078,19.136,6.711,28.8121
2015-03-05,81.21,28.1345,19.3915,6.6807,28.9665
2015-03-06,80.0,28.1768,19.0045,6.4874,28.5416
2015-03-09,79.44,28.2947,18.928,6.3661,28.6013
2015-03-10,77.55,27.7091,18.4755,6.2151,27.8913
2015-03-11,77.57,27.2044,18.3185,6.2884,27.6841
2015-03-12,78.93,27.3527,18.712,6.4046,27.9665
2015-03-13,78.05,27.5125,18.529,6.2629,27.5501
2015-03-16,78.07,27.8073,18.6675,6.0281,27.9805
2015-03-17,79.36,28.2719,18.596,5.9789,27.7798
2015-03-18,80.91,28.5903,18.757,6.0446,28.2057
2015-03-19,82.75,28.3781,18.662,6.0744,28.0817
2015-03-20,83.8,28.0253,18.9245,6.1186,28.1454
2015-03-23,84.43,28.3112,18.7555,6.0714,28.1664
2015-03-24,85.31,28.1963,18.7045,6.2611,28.7727
2015-03-25,82.92,27.4637,18.548,6.025,28.2476
2015-03-26,83.01,27.6501,18.3675,5.9751,28.0802
2015-03-27,83.3,27.4322,18.528,5.9253,27.7768
2015-03-30,83.19,28.1245,18.7295,6.0367,27.9557
2015-03-31,82.215,27.6925,18.605,5.9527,27.6348
2015-04-01,81.67,27.6531,18.513,5.9017,27.3752
2015-04-02,81.56,27.8907,18.6125,5.9154,26.9678
2015-04-06,82.44,28.3406,18.852,6.033,27.0992
2015-04-07,82.32,28.045,18.7205,6.0494,27.1446
2015-04-08,82.28,27.9566,19.06,6.305,27.3429
2015-04-09,82.17,28.1699,19.177,6.2786,27.302
2015-04-10,82.04,28.2848,19.1325,6.4939,27.328
2015-04-13,83.01,28.2288,19.118,6.7811,27.333
2015-04-14,83.51,28.1108,19.2555,6.8387,26.8916
2015-04-15,82.71,28.2159,19.1725,6.7923,26.9543
2015-04-16,82.31,28.0825,19.302,8.0293,27.0778
2015-04-17,80.78,27.7613,18.778,8.165,26.5408
2015-04-20,83.09,28.4006,19.4755,8.1056,27.1282
2015-04-21,83.62,28.2424,19.559,8.0063,27.048
2015-04-22,84.63,28.6226,19.49,7.9669,27.3598
2015-04-23,82.41,28.8652,19.4995,7.9866,27.7723
2015-04-24,81.53,28.9997,22.255,7.9771,28.5793
2015-04-27,81.91,29.5242,21.928,8.0869,28.2038
2015-04-28,80.68,29.0536,21.4655,8.0437,28.1166
2015-04-29,80.46,28.6275,21.4685,8.0407,27.968
2015-04-30,78.77,27.8528,21.089,7.95,27.3394
2015-05-01,78.99,28.6982,21.1435,7.9576,27.4584
2015-05-04,78.81,28.6423,21.152,7.9271,27.5421
2015-05-05,77.56,28.004,21.0595,8.0793,27.054
2015-05-06,78.1,27.822,20.955,8.0077,26.6573
2015-05-07,78.43,27.9982,21.344,8.0749,27.0041
2015-05-08,78.51,28.5216,21.6845,8.2086,27.3484
2015-05-11,78.01,28.2288,21.6425,8.4279,27.1904
2015-05-12,77.46,28.1305,21.551,8.3377,26.8391
2015-05-13,78.44,28.1639,21.3435,8.2873,26.8771
2015-05-14,81.37,28.8239,21.614,8.3836,27.3608
2015-05-15,80.42,28.7826,21.3,8.7607,27.2258
2015-05-18,80.88,29.0911,21.262,8.8267,27.2348
2015-05-19,80.63,29.0645,21.0855,8.8069,27.3647
2015-05-20,80.55,29.0625,21.193,8.879,27.5257
2015-05-21,80.48,29.3688,21.5815,8.9003,27.7399
2015-05-22,80.54,29.6254,21.3815,8.8839,27.6258
2015-05-26,79.33,28.9752,21.2735,8.7993,27.2607
2015-05-27,80.55,29.5123,21.571,8.9857,27.6124
2015-05-28,80.14,29.4475,21.3285,8.9507,27.6089
2015-05-29,79.19,29.1107,21.4615,8.9151,27.1675
2015-06-01,80.29,29.1698,21.546,8.9003,27.3613
2015-06-02,80.44,29.0419,21.5495,8.913,27.5974
2015-06-03,82.44,29.0743,21.8295,8.8809,27.6642
2015-06-04,82.05,28.921,21.539,8.9349,27.4849
2015-06-05,82.14,28.7531,21.3475,9.046,27.3772
2015-06-08,80.67,28.5608,21.175,8.9604,27.0758
2015-06-09,80.67,28.48,21.274,9.245,27.01
2015-06-10,82.16,28.8093,21.5385,9.5871,27.5301
2015-06-11,81.83,28.7375,21.6485,9.5094,27.4027
2015-06-12,81.53,28.424,21.496,9.4419,27.2746
2015-06-15,80.71,28.3663,21.1835,9.3431,27.052
2015-06-16,81.06,28.5206,21.363,9.5273,27.1451
2015-06-17,81.79,28.4538,21.3905,9.4271,27.2313
2015-06-18,82.9,28.5763,21.9695,9.4743,27.7085
2015-06-19,82.51,28.2917,21.746,9.3871,27.7753
2015-06-22,84.74,28.5206,21.8145,9.6414,27.8829
2015-06-23,87.88,28.3918,22.2995,9.7313,28.0677
2015-06-24,88.86,28.6295,22.042,9.6944,27.8276
2015-06-25,87.98,28.4987,22.005,9.4891,27.7967
2015-06-26,88.01,28.3268,21.905,9.3089,27.5531
2015-06-29,85.8,27.8318,21.493,9.2231,26.9648
2015-06-30,85.765,28.0303,21.7045,9.3849,26.9045
2015-07-01,86.91,28.2917,21.8695,9.3636,27.0669
2015-07-02,87.29,28.2581,21.8855,9.4044,27.2681
2015-07-06,87.55,28.1619,21.802,9.4571,27.1824
2015-07-07,87.22,28.0923,21.836,9.4091,27.4022
2015-07-08,85.65,27.393,21.485,9.3507,26.9871
2015-07-09,85.88,26.8381,21.7195,9.5727,27.1342
2015-07-10,87.95,27.5551,22.1755,9.7229,27.705
2015-07-13,90.1,28.0844,22.7785,10.109,28.4833
2015-07-14,89.68,28.0727,23.2785,10.037,29.1034
2015-07-15,89.76,28.3406,23.0595,9.813,29.0926
2015-07-16,90.85,28.718,23.774,11.581,29.9803
2015-07-17,94.97,28.9752,24.1505,11.477,34.8547
2015-07-20,97.91,29.5162,24.405,11.055,34.5168
2015-07-21,98.39,29.2197,24.4,11.251,34.6419
2015-07-22,97.04,27.9882,24.4135,11.15,34.6295
2015-07-23,95.44,27.9742,24.109,11.01,33.6146
2015-07-24,96.95,27.8238,26.471,10.934,32.6203
2015-07-27,94.17,27.4399,26.5705,10.643,32.7946
2015-07-28,95.29,27.5777,26.3015,10.69,32.8638
2015-07-29,96.99,27.4932,26.45,10.708,32.952
2015-07-30,95.21,27.3498,26.838,11.156,33.108
2015-07-31,94.01,27.1072,26.8075,11.431,32.7563
2015-08-03,94.14,26.4628,26.7515,11.256,33.1159
2015-08-04,94.06,25.625,26.595,12.115,32.9445
2015-08-05,96.44,25.7911,26.8505,12.371,33.5429
2015-08-06,95.12,25.8468,26.473,12.645,33.3864
2015-08-07,94.3,25.9354,26.131,12.352,33.0995
2015-08-10,94.15,26.8841,26.2,12.303,33.0372
2015-08-11,93.62,25.4806,26.373,12.274,34.3903
2015-08-12,94.19,25.8717,26.2955,12.051,34.4486
2015-08-13,93.43,25.8488,26.483,12.373,34.2015
2015-08-14,94.42,26.0318,26.576,12.339,34.344
2015-08-17,93.93,26.3018,26.761,12.536,34.5802
2015-08-18,95.17,26.1565,26.751,12.405,34.3121
2015-08-19,95.31,25.8206,26.646,12.206,34.5767
2015-08-20,90.56,25.2895,25.789,11.249,33.8513
2015-08-21,86.06,23.7483,24.7235,10.396,32.0852
2015-08-24,82.09,23.1532,23.1685,9.688,30.7939
