timestamp_utc,nav,benchmark_index,regime_bull,signal_json,target_position_json,current_positions_json,target_units_json,order_deltas_json
2026-04-09 12:18:00+00:00,100000.0,1.0,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": 1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": 0, ""GBP_USD"": 0, ""USD_JPY"": 0}","{""EUR_USD"": 11410, ""GBP_USD"": 9936, ""USD_JPY"": 13333}","{""EUR_USD"": 11410, ""GBP_USD"": 9936, ""USD_JPY"": 13333}"
2026-04-09 12:19:00+00:00,99998.42918465084,1.0000789447238951,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": 1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": 11410, ""GBP_USD"": 9936, ""USD_JPY"": 13333}","{""EUR_USD"": 11411, ""GBP_USD"": 9937, ""USD_JPY"": 13333}","{""EUR_USD"": 1, ""GBP_USD"": 1}"
2026-04-09 12:20:00+00:00,99997.00927752959,1.000237824850573,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": 1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": 11411, ""GBP_USD"": 9937, ""USD_JPY"": 13333}","{""EUR_USD"": 11412, ""GBP_USD"": 9938, ""USD_JPY"": 13332}","{""EUR_USD"": 1, ""GBP_USD"": 1, ""USD_JPY"": -1}"
2026-04-09 12:21:00+00:00,99993.51307283876,1.0002848820977575,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": 1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": 11412, ""GBP_USD"": 9938, ""USD_JPY"": 13332}","{""EUR_USD"": 11413, ""GBP_USD"": 9939, ""USD_JPY"": 13332}","{""EUR_USD"": 1, ""GBP_USD"": 1}"
2026-04-09 12:22:00+00:00,99996.83426273211,1.0002008601445609,False,"{""EURUSD"": -1.0, ""GBPUSD"": 1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": 11413, ""GBP_USD"": 9939, ""USD_JPY"": 13332}","{""EUR_USD"": -11412, ""GBP_USD"": 9938, ""USD_JPY"": 13332}","{""EUR_USD"": -22825, ""GBP_USD"": -1}"
2026-04-09 12:23:00+00:00,99998.64474102002,1.0002326857038408,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11412, ""GBP_USD"": 9938, ""USD_JPY"": 13332}","{""EUR_USD"": -11412, ""GBP_USD"": -9937, ""USD_JPY"": 13333}","{""GBP_USD"": -19875, ""USD_JPY"": 1}"
2026-04-09 12:24:00+00:00,99996.41666975434,1.0001591277964,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11412, ""GBP_USD"": -9937, ""USD_JPY"": 13333}","{""EUR_USD"": -11412, ""GBP_USD"": -9936, ""USD_JPY"": 13332}","{""GBP_USD"": 1, ""USD_JPY"": -1}"
2026-04-09 12:25:00+00:00,99996.82337803411,1.000115166420741,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11412, ""GBP_USD"": -9936, ""USD_JPY"": 13332}","{""EUR_USD"": -11412, ""GBP_USD"": -9937, ""USD_JPY"": 13332}","{""GBP_USD"": -1}"
2026-04-09 12:26:00+00:00,99998.64998220626,1.0001889100804733,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11412, ""GBP_USD"": -9937, ""USD_JPY"": 13332}","{""EUR_USD"": -11412, ""GBP_USD"": -9938, ""USD_JPY"": 13333}","{""GBP_USD"": -1, ""USD_JPY"": 1}"
2026-04-09 12:27:00+00:00,99996.81233537484,1.0001400572278043,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11412, ""GBP_USD"": -9938, ""USD_JPY"": 13333}","{""EUR_USD"": -11411, ""GBP_USD"": -9937, ""USD_JPY"": 13332}","{""EUR_USD"": 1, ""GBP_USD"": 1, ""USD_JPY"": -1}"
2026-04-09 12:28:00+00:00,99998.26393346203,1.0002390012817526,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11411, ""GBP_USD"": -9937, ""USD_JPY"": 13332}","{""EUR_USD"": -11410, ""GBP_USD"": -9938, ""USD_JPY"": 13333}","{""EUR_USD"": 1, ""GBP_USD"": -1, ""USD_JPY"": 1}"
2026-04-09 12:29:00+00:00,99994.21211218227,1.0001228441821235,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11410, ""GBP_USD"": -9938, ""USD_JPY"": 13333}","{""EUR_USD"": -11409, ""GBP_USD"": -9936, ""USD_JPY"": 13332}","{""EUR_USD"": 1, ""GBP_USD"": 2, ""USD_JPY"": -1}"
2026-04-09 12:30:00+00:00,99992.65042399573,1.000105011962138,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11409, ""GBP_USD"": -9936, ""USD_JPY"": 13332}","{""EUR_USD"": -11409, ""GBP_USD"": -9936, ""USD_JPY"": 13332}",{}
2026-04-09 12:31:00+00:00,99998.7714385676,1.0002637063365245,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11409, ""GBP_USD"": -9936, ""USD_JPY"": 13332}","{""EUR_USD"": -11411, ""GBP_USD"": -9938, ""USD_JPY"": 13333}","{""EUR_USD"": -2, ""GBP_USD"": -2, ""USD_JPY"": 1}"
2026-04-09 12:32:00+00:00,100010.17599194954,1.000519177654792,True,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11411, ""GBP_USD"": -9938, ""USD_JPY"": 13333}","{""EUR_USD"": -17124, ""GBP_USD"": -14913, ""USD_JPY"": 20002}","{""EUR_USD"": -5713, ""GBP_USD"": -4975, ""USD_JPY"": 6669}"
2026-04-09 12:33:00+00:00,100011.29391062034,1.0004812222698918,True,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -17124, ""GBP_USD"": -14913, ""USD_JPY"": 20002}","{""EUR_USD"": -17124, ""GBP_USD"": -14915, ""USD_JPY"": 20002}","{""GBP_USD"": -2}"
